Protein,Gene,Transcript,SignalP,TargetP,TMHMM,PredGPI,WoLF.PSORT,SecretomeP,Uniprot
ENSP00000286574,ENSG00000156076,ENST00000286574,0.947,0.974,PredHel=0,0.627381,"extr 23, pero 5, lyso 2",0.705,Q9Y5W5
ENSP00000287139,ENSG00000156574,ENST00000287139,0.76,0.899,PredHel=0,0.938314,"extr 17, mito 5, nucl 4.5, cyto_nucl 3.5, cyt",0.921,Q96S42
ENSP00000287748,ENSG00000157093,ENST00000287748,0.696,0.888,PredHel=0,0.850061,extr 32,0.938,Q96KX0
ENSP00000287814,ENSG00000157150,ENST00000287814,0.844,0.912,PredHel=0,0.727447,"extr 24, cyto_mito 4, mito 3.5",0.591,Q99727
ENSP00000288040,ENSG00000157322,ENST00000288040,0.891,0.97,PredHel=0,0.415113,"extr 14.5, extr_plas 14, plas 12.5, E.R. 2, p",0.758,A5D8T8
ENSP00000290271,ENSG00000159167,ENST00000290271,0.75,0.855,PredHel=0,0.675765,extr 31,0.921,P52823
ENSP00000290722,ENSG00000159527,ENST00000290722,0.818,0.984,PredHel=0,0.981181,"extr 22, mito 3, cyto 2.5, cyto_nucl 2.5, mit",0.881,Q96LB9
ENSP00000291009,ENSG00000159763,ENST00000291009,0.802,0.891,PredHel=0,0.127021,"extr 25, cyto_mito 4.5, cyto 3.5",0.598,P12273
ENSP00000291526,ENSG00000160181,ENST00000291526,0.849,0.853,PredHel=0,0.151266,extr 32,0.941,Q03403
ENSP00000291744,ENSG00000160339,ENST00000291744,0.869,0.955,PredHel=1,0.108585,"extr 24, plas 5",0.832,Q15485
ENSP00000292377,ENSG00000213420,ENST00000292377,0.633,0.883,PredHel=0,2.00E-08,"extr 16, lyso 7, pero 6",0.169,Q8N158
ENSP00000292430,ENSG00000160886,ENST00000292430,0.872,0.958,PredHel=1,3.99E-08,"extr 23, plas 9",0.249,Q17RY6
ENSP00000292609,ENSG00000161031,ENST00000292609,0.893,0.992,PredHel=0,0.996666,"extr 24, lyso 6",0.754,Q96PD5
ENSP00000293371,ENSG00000161634,ENST00000293371,0.893,0.942,PredHel=0,0.790933,extr 32,0.955,P81605
ENSP00000293549,ENSG00000125084,ENST00000293549,0.9,0.968,PredHel=1,0.712382,"extr 27, lyso 3",0.82,P04628
ENSP00000293851,ENSG00000103355,ENST00000293851,0.874,0.843,PredHel=0,0.970079,"extr 28, lyso 4",0.365,Q8NF86
ENSP00000294485,ENSG00000162490,ENST00000294485,0.866,0.988,PredHel=1,0.789869,"extr 27, lyso 3",0.652,Q8NBI3
ENSP00000294794,ENSG00000162745,ENST00000294794,0.813,0.964,PredHel=1,0.953725,"extr 15, E.R. 7, lyso 5, plas 2, golg 2",0.48,Q68BL8
ENSP00000294800,ENSG00000162747,ENST00000294800,0.718,0.959,PredHel=1,0.000115503,"extr 27, extr_plas 15",0.768,O75015
ENSP00000295228,ENSG00000163083,ENST00000295228,0.837,0.945,PredHel=0,0.1128,"extr 22, cyto_pero 3.5, lyso 3, cyto 2.5",0.892,P09529
ENSP00000295326,ENSG00000163170,ENST00000295326,0.286,0.07,PredHel=0,0.268376,"mito 15, cyto 7, extr 6, nucl 2, pero 2",0.951,Q53S33
ENSP00000295379,ENSG00000163217,ENST00000295379,0.909,0.962,PredHel=1,0.378267,"extr 24, plas 3, lyso 3",0.729,O95393
ENSP00000295550,ENSG00000163359,ENST00000295550,0.863,0.833,PredHel=0,0.437897,"extr 16, mito 4, pero 3, cyto_mito 3, E.R._go",0.384,P12111
ENSP00000295619,ENSG00000163421,ENST00000295619,0.793,0.96,PredHel=0,0.069435,extr 32,0.929,Q9HC23
ENSP00000295755,ENSG00000163515,ENST00000295755,0.768,0.974,PredHel=0,0.500253,extr 31,0.907,Q9BQ08
ENSP00000295760,ENSG00000163520,ENST00000295760,0.88,0.964,PredHel=0,0.233636,"extr 16, cyto_pero 4.16667, mito_pero 3.66667",0.613,P98095
ENSP00000295777,ENSG00000163536,ENST00000295777,0.827,0.962,PredHel=0,0.534034,"extr 28, lyso 2",0.748,Q99574
ENSP00000295897,ENSG00000163631,ENST00000295897,0.848,0.873,PredHel=0,0.900297,"extr 26, cyto_mito 3",0.427,P02768
ENSP00000295927,ENSG00000163661,ENST00000295927,0.93,0.931,PredHel=0,0.9379,"extr 20, E.R. 8, lyso 4, E.R._mito 4, E.R._go",0.686,P26022
ENSP00000296029,ENSG00000163737,ENST00000296029,0.861,0.977,PredHel=1,0.811502,extr 32,0.931,P02776
ENSP00000296130,ENSG00000163815,ENST00000296130,0.898,0.949,PredHel=0,0.400239,"extr 27, lyso 2",0.653,P05452
ENSP00000296252,ENSG00000163898,ENST00000296252,0.822,0.87,PredHel=0,0.992855,"extr 23, lyso 4, pero 3",0.69,Q8WWY8
ENSP00000296280,ENSG00000127241,ENST00000296280,0.808,0.918,PredHel=0,0.909188,"extr 23, lyso 4, cyto_mito 2.33333, cyto_nucl",0.771,P48740
ENSP00000296420,ENSG00000164035,ENST00000296420,0.774,0.944,PredHel=1,0.0317344,"extr 16, plas 5, pero 5, cyto 3",0.182,Q9ULC0
ENSP00000296777,ENSG00000164326,ENST00000296777,0.872,0.949,PredHel=0,0.136028,extr 32,0.93,Q16568
ENSP00000296870,ENSG00000164399,ENST00000296870,0.826,0.905,PredHel=0,0.991047,"mito 17, extr 13",0.924,P08700
ENSP00000296875,ENSG00000164404,ENST00000296875,0.819,0.985,PredHel=1,0.146963,"extr 24, E.R. 2, lyso 2, golg 2, E.R._golg 2",0.863,B4DXG3
ENSP00000296877,ENSG00000164406,ENST00000296877,0.938,0.959,PredHel=0,0.887982,extr 32,0.916,Q969E1
ENSP00000297261,ENSG00000164690,ENST00000297261,0.892,0.928,PredHel=1,0.31016,"extr 16.5, extr_plas 10.5, lyso 5, E.R. 4, pl",0.136,Q15465
ENSP00000297268,ENSG00000164692,ENST00000297268,0.804,0.947,PredHel=0,0.750526,"extr 15, E.R. 12, lyso 3",0.323,P08123
ENSP00000297435,ENSG00000164821,ENST00000297435,0.923,0.962,PredHel=0,0.792974,extr 31,0.928,P12838
ENSP00000297436,ENSG00000164822,ENST00000297436,0.877,0.955,PredHel=0,0.760674,extr 32,0.963,Q01524
ENSP00000297439,ENSG00000164825,ENST00000297439,0.885,0.922,PredHel=0,0.12985,extr 31,0.927,P60022
ENSP00000297498,ENSG00000164871,ENST00000297498,0.866,0.926,PredHel=0,0.260387,extr 30,0.909,Q08648
ENSP00000298454,ENSG00000165633,ENST00000298454,0.622,0.602,PredHel=0,0.00154937,"extr 28, mito 2",0.948,Q8IW00
ENSP00000298690,ENSG00000165799,ENST00000298690,0.856,0.968,PredHel=1,0.837424,extr 32,0.935,Q9H1E1
ENSP00000299022,ENSG00000166035,ENST00000299022,0.831,0.92,PredHel=0,0.171756,"extr 17, E.R. 7, plas 3, nucl 2, pero 1.5, cy",0.684,P11150
ENSP00000299367,ENSG00000166278,ENST00000299367,0.906,0.981,PredHel=0,0.785906,"extr 26, E.R. 4",0.59,P06681
ENSP00000299698,ENSG00000166535,ENST00000299698,0.851,0.928,PredHel=0,0.336889,"extr 17, nucl 5.5, cyto_nucl 5.5, cyto 4.5, p",0.618,A8K2U0
ENSP00000299855,ENSG00000149968,ENST00000299855,0.89,0.955,PredHel=0,0.207662,"extr 17, E.R. 13",0.469,P08254
ENSP00000300527,ENSG00000142173,ENST00000300527,0.847,0.973,PredHel=0,0.343317,"extr 23, lyso 4, cyto_pero 2.5, cyto 2",0.195,P12110
ENSP00000300762,ENSG00000167346,ENST00000300762,0.835,0.948,PredHel=0,0.105496,"extr 22, pero 4, E.R. 2, lyso 2",0.809,Q9NRE1
ENSP00000301202,ENSG00000167618,ENST00000301202,0.804,0.948,PredHel=0,0.9838,extr 32,0.935,Q6ISS4
ENSP00000301391,ENSG00000167740,ENST00000301391,0.315,0.795,PredHel=1,0.00409313,extr 31,0.933,Q8WUJ1
ENSP00000301407,ENSG00000267631,ENST00000301407,0.907,0.924,PredHel=0,0.925468,"extr 28, lyso 3",0.428,A6NKQ9
ENSP00000301408,ENSG00000189052,ENST00000301408,0.919,0.942,PredHel=0,0.785311,"extr 27, cyto_pero 3",0.486,P01233
ENSP00000301770,ENSG00000167992,ENST00000301770,0.801,0.858,PredHel=0,0.397909,"extr 27, mito 3",0.881,Q96DN2
ENSP00000301908,ENSG00000168081,ENST00000301908,0.865,0.942,PredHel=0,0.656698,extr 32,0.921,Q13519
ENSP00000306361,ENSG00000171560,ENST00000302053,0.812,0.927,PredHel=0,0.180427,"extr 17, E.R. 7, lyso 4, golg 2",0.419,P02671
ENSP00000306099,ENSG00000171564,ENST00000302068,0.861,0.939,PredHel=0,0.115232,"extr 18, golg 5.5, E.R._golg 5.5, E.R. 4.5, l",0.559,P02675
ENSP00000303208,ENSG00000169174,ENST00000302118,0.935,0.966,PredHel=0,0.953541,"extr 19, lyso 10",0.689,Q8NBP7
ENSP00000303920,ENSG00000170476,ENST00000302125,0.874,0.965,PredHel=0,0.750061,extr 30,0.949,Q8WU39
ENSP00000305919,ENSG00000169495,ENST00000302495,0.819,0.951,PredHel=1,0.0500179,"extr 21, lyso 5, pero 4",0.656,P83105
ENSP00000306279,ENSG00000169344,ENST00000302509,0.883,0.963,PredHel=0,1.78E-07,"extr 25, lyso 3, nucl 2.5, cyto_nucl 2.5",0.715,P07911
ENSP00000302274,ENSG00000172247,ENST00000302514,0.82,0.611,PredHel=0,0.0224677,"extr 22, mito 4, E.R. 3",0.398,Q9BXJ3
ENSP00000303452,ENSG00000170893,ENST00000302649,0.836,0.951,PredHel=0,0.503947,"extr 19, mito 7, nucl 2, lyso 2",0.844,P20396
ENSP00000303211,ENSG00000087085,ENST00000302913,0.841,0.989,PredHel=0,7.97E-07,"extr 15, lyso 9, E.R. 6",0.588,P22303
ENSP00000303963,ENSG00000168928,ENST00000303037,0.893,0.983,PredHel=1,0.037853,"extr 25, lyso 4",0.86,Q6GPI1
ENSP00000304915,ENSG00000169194,ENST00000304506,0.939,0.994,PredHel=1,0.719435,"extr 28, lyso 4",0.466,P35225
ENSP00000304408,ENSG00000168542,ENST00000304636,0.866,0.967,PredHel=0,0.972918,"extr 23, lyso 6",0.242,P02461
ENSP00000302324,ENSG00000169397,ENST00000304639,0.848,0.909,PredHel=0,0.76878,extr 31,0.913,P12724
ENSP00000302046,ENSG00000169413,ENST00000304677,0.872,0.98,PredHel=1,0.212606,extr 31,0.963,Q93091
ENSP00000307132,ENSG00000170367,ENST00000304710,0.816,0.948,PredHel=0,0.139846,extr 30,0.936,P28325
ENSP00000307540,ENSG00000170369,ENST00000304725,0.918,0.973,PredHel=0,0.294162,"extr 24, pero 3, lyso 2, cyto_pero 2",0.91,P09228
ENSP00000302400,ENSG00000171201,ENST00000304915,0.849,0.956,PredHel=0,0.0701834,"extr 23, mito 4, nucl 2, mito_pero 2",0.37,P02814
ENSP00000302924,ENSG00000172458,ENST00000304920,0.682,0.737,PredHel=0,0.822119,"extr 22, mito 4, cyto 3, pero 3, cyto_pero 3",0.916,Q8TAD2
ENSP00000303206,ENSG00000172023,ENST00000305089,0.846,0.884,PredHel=0,0.0955356,extr 30,0.958,P48304
ENSP00000304133,ENSG00000171951,ENST00000305409,0.867,0.944,PredHel=1,0.659511,"extr 17, cyto 6, cyto_nucl 4.33333, cyto_pero",0.478,P13521
ENSP00000302557,ENSG00000168743,ENST00000305572,0.837,0.956,PredHel=0,0.350085,"extr 23, E.R. 5, lyso 3",0.434,Q6UXI9
ENSP00000307164,ENSG00000171053,ENST00000305738,0.667,0.825,PredHel=0,0.54482,extr 31,0.94,Q8WXA2
ENSP00000304780,ENSG00000164035,ENST00000305864,0.774,0.944,PredHel=0,0.0306495,"extr 23, cyto_nucl 5, nucl 4, cyto 4",0.739,Q9ULC0
ENSP00000302234,ENSG00000172156,ENST00000305869,0.894,0.943,PredHel=1,0.116497,"extr 27, plas 2, lyso 2",0.93,P51671
ENSP00000305651,ENSG00000169245,ENST00000306602,0.896,0.942,PredHel=1,0.20686,"extr 28, lyso 4",0.829,P02778
ENSP00000302665,ENSG00000017427,ENST00000307046,0.563,0.715,PredHel=0,0.639395,"extr 26, pero 3",0.923,P05019
ENSP00000304234,ENSG00000250120,ENST00000307360,0.881,0.976,PredHel=1,0.0672799,"extr 15, E.R. 9.5, extr_plas 9.5, E.R._golg 6",0.134,Q9Y5I2
ENSP00000304355,ENSG00000169193,ENST00000307471,0.287,0.911,PredHel=1,0.324014,extr 30,0.913,Q96EE4
ENSP00000303550,ENSG00000170891,ENST00000307746,0.748,0.821,PredHel=0,0.794123,"extr 24, lyso 3, cyto 2, mito 2, cyto_mito 2",0.938,Q9NRR1
ENSP00000309953,ENSG00000172638,ENST00000307998,0.913,0.98,PredHel=0,0.0113184,"extr 28, lyso 3",0.828,O95967
ENSP00000311905,ENSG00000090006,ENST00000308370,0.911,0.912,PredHel=0,0.7292,"extr 19, golg 5.5, E.R._golg 4, lyso 3, pero ",0.323,Q8N2S1
ENSP00000311320,ENSG00000144214,ENST00000308528,0.911,0.975,PredHel=0,0.263332,"extr 18, plas 11",0.877,Q8N1E2
ENSP00000311035,ENSG00000163606,ENST00000308611,0.889,0.963,PredHel=1,0.46475,"extr 20, E.R. 9",0.156,Q8TD46
ENSP00000311127,ENSG00000173511,ENST00000309422,0.85,0.85,PredHel=0,0.048759,"extr 27, mito 3",0.28,P49765
ENSP00000309124,ENSG00000173391,ENST00000309539,0.108,0.481,PredHel=1,0.859411,"plas 17.5, extr_plas 11.5, cyto 5, extr 4.5, ",0.903,P78380
ENSP00000309596,ENSG00000132185,ENST00000309691,0.815,0.987,PredHel=1,0.760707,"extr 27, plas 2, lyso 2",0.666,Q7L513
ENSP00000309524,ENSG00000204414,ENST00000309894,0.82,0.908,PredHel=0,0.76819,extr 31,0.92,Q14406
ENSP00000311746,ENSG00000129451,ENST00000309958,0.688,0.658,PredHel=0,0.68277,"extr 20, cyto 5, mito 5, cyto_mito 5",0.911,O43240
ENSP00000312273,ENSG00000153902,ENST00000310123,0.912,0.949,PredHel=0,0.464215,"extr 20.5, extr_plas 12, lyso 4, pero 3, plas",0.689,Q8N135
ENSP00000308893,ENSG00000162804,ENST00000310397,0.811,0.851,PredHel=0,0.720359,"extr 27, pero 3",0.485,Q8TER0
ENSP00000312529,ENSG00000142173,ENST00000310645,0.847,0.973,PredHel=0,0.550609,"extr 23, cyto_pero 2.5, cyto 2, E.R. 2, lyso ",0.26,P12110
ENSP00000309757,ENSG00000175445,ENST00000311322,0.797,0.87,PredHel=0,0.00607811,"extr 18, cyto_pero 4.5, E.R._mito 4, mito 3.5",0.749,P06858
ENSP00000311184,ENSG00000173714,ENST00000311378,0.926,0.915,PredHel=1,0.810621,"extr 21, golg 5.5, E.R._golg 3.5, lyso 3",0.69,Q8TEU8
ENSP00000308107,ENSG00000173083,ENST00000311412,0.513,0.932,PredHel=0,0.000508942,"extr 17, E.R. 4.5, nucl 3, pero 3, E.R._golg ",0.717,Q9Y251
ENSP00000339067,ENSG00000174721,ENST00000311575,0.765,0.935,PredHel=0,0.758113,extr 32,0.951,Q8TAT2
ENSP00000311854,ENSG00000124205,ENST00000311585,0.806,0.861,PredHel=0,0.436563,"extr 23, cyto_pero 3.5, cyto 2.5, nucl 2, mit",0.959,P14138
ENSP00000310371,ENSG00000115602,ENST00000311734,0.893,0.967,PredHel=0,0.69726,"extr 27, mito 3",0.673,Q01638
ENSP00000312134,ENSG00000186652,ENST00000311862,0.9,0.928,PredHel=0,0.197552,extr 32,0.933,P13727
ENSP00000311313,ENSG00000175315,ENST00000312134,0.845,0.911,PredHel=0,0.661685,extr 29,0.912,Q15828
ENSP00000310770,ENSG00000173401,ENST00000312442,0.814,0.959,PredHel=0,0.000804924,"extr 28, cyto_mito 3",0.61,Q6UWM5
ENSP00000311697,ENSG00000138675,ENST00000312465,0.903,0.957,PredHel=0,0.357541,"extr 23, E.R. 8",0.627,P12034
ENSP00000324025,ENSG00000138028,ENST00000312734,0.912,0.952,PredHel=0,0.134903,"extr 21, E.R. 3, plas 2, lyso 2, golg 2, E.R.",0.741,Q99674
ENSP00000315635,ENSG00000149582,ENST00000313236,0.763,0.904,PredHel=1,0.0218811,"extr 16.5, extr_plas 11, plas 4.5, pero 4, cy",0.182,Q86YD3
ENSP00000320813,ENSG00000176782,ENST00000314265,0.739,0.943,PredHel=0,0.61138,extr 32,0.909,Q8WTQ1
ENSP00000316333,ENSG00000196352,ENST00000314754,0.851,0.953,PredHel=0,0.759973,"extr 26, extr_plas 14.5, lyso 4",0.45,P08174
ENSP00000324672,ENSG00000153446,ENST00000315997,0.921,0.964,PredHel=0,0.795693,"extr 24, lyso 5",0.953,Q6UX73
ENSP00000322191,ENSG00000177023,ENST00000316169,0.739,0.943,PredHel=0,0.61138,extr 32,0.909,Q8WTQ1
ENSP00000316416,ENSG00000136488,ENST00000316193,0.816,0.924,PredHel=0,0.789969,extr 31,0.917,P0DML2
ENSP00000319476,ENSG00000163600,ENST00000316386,0.809,0.879,PredHel=1,0.357406,"extr 23, cyto 5, plas 2, pero 2",0.131,Q9Y6W8
ENSP00000315130,ENSG00000120885,ENST00000316403,0.842,0.958,PredHel=0,0.455985,"extr 20, nucl 4.5, lyso 4, cyto_nucl 3.5",0.848,P10909
ENSP00000321724,ENSG00000248099,ENST00000317306,0.843,0.86,PredHel=0,0.886087,extr 32,0.919,P51460
ENSP00000319846,ENSG00000180155,ENST00000317543,0.865,0.959,PredHel=0,0.930597,extr 32,0.981,Q9BZG9
ENSP00000315243,ENSG00000168542,ENST00000317840,0.866,0.967,PredHel=0,0.972628,"extr 27, lyso 3",0.353,P02461
ENSP00000322591,ENSG00000164871,ENST00000317900,0.866,0.92,PredHel=0,0.159939,extr 30,0.905,Q08648
ENSP00000323929,ENSG00000175899,ENST00000318602,0.873,0.974,PredHel=0,0.332389,"extr 27, lyso 3",0.57,P01023
ENSP00000324763,ENSG00000127578,ENST00000319070,0.878,0.936,PredHel=0,0.868402,"extr 28, pero 2, lyso 2",0.746,Q96NZ8
ENSP00000317445,ENSG00000178597,ENST00000319098,0.908,0.885,PredHel=0,0.39615,"extr 27, lyso 5",0.8,Q6NUJ1
ENSP00000321106,ENSG00000006128,ENST00000319273,0.882,0.943,PredHel=0,0.226723,extr 32,0.961,P20366
ENSP00000322486,ENSG00000178602,ENST00000319460,0.826,0.966,PredHel=0,0.918843,"extr 28, nucl 1, cyto 1, E.R. 1, cyto_nucl 1,",0.982,Q8NHW6
ENSP00000315731,ENSG00000176845,ENST00000320095,0.728,0.32,PredHel=0,0.518582,"plas 10, E.R. 8, mito 5, cysk_plas 5, lyso 4,",0.935,Q641Q3
ENSP00000321797,ENSG00000107831,ENST00000320185,0.88,0.934,PredHel=0,0.805525,"extr 28, lyso 3",0.87,P55075
ENSP00000346068,ENSG00000114378,ENST00000320295,0.883,0.877,PredHel=0,0.0871239,"extr 26, lyso 4",0.791,Q12794
ENSP00000322273,ENSG00000116774,ENST00000320334,0.826,0.945,PredHel=0,0.348267,"extr 18, mito 5, cyto 3.5, cyto_nucl 3.5, lys",0.411,Q9NRN5
ENSP00000314299,ENSG00000244414,ENST00000320493,0.84,0.885,PredHel=0,0.505946,"extr 25, lyso 5",0.767,Q03591
ENSP00000319464,ENSG00000178772,ENST00000323830,0.896,0.97,PredHel=0,0.449185,"extr 21, lyso 5, mito 4",0.793,P22792
ENSP00000318217,ENSG00000204580,ENST00000324771,0.807,0.944,PredHel=1,0.990331,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.11,Q08345
ENSP00000324870,ENSG00000178172,ENST00000325630,0.938,0.969,PredHel=1,0.252451,extr 30,0.941,Q6UWN8
ENSP00000325286,ENSG00000176358,ENST00000326219,0.842,0.971,PredHel=0,0.436385,"extr 28, mito 2",0.854,Q86UU9
ENSP00000317145,ENSG00000168621,ENST00000326524,0.897,0.951,PredHel=0,0.133623,"extr 26, E.R. 3, cyto_pero 2",0.805,P39905
ENSP00000321242,ENSG00000180259,ENST00000326539,0.718,0.988,PredHel=0,0.251178,extr 31,0.934,Q86SH4
ENSP00000315098,ENSG00000181562,ENST00000326842,0.418,0.963,PredHel=1,0.365358,extr 31,0.903,Q14507
ENSP00000332215,ENSG00000221826,ENST00000327495,0.836,0.928,PredHel=0,0.348769,"extr 15, mito 11, cyto 5",0.789,Q16557
ENSP00000332139,ENSG00000197766,ENST00000327726,0.791,0.859,PredHel=0,0.352969,"extr 28, pero 2",0.953,P00746
ENSP00000328359,ENSG00000239839,ENST00000327857,0.921,0.964,PredHel=0,0.585074,extr 32,0.939,P59666
ENSP00000331544,ENSG00000077942,ENST00000327858,0.869,0.961,PredHel=0,0.285491,"extr 25.5, extr_plas 13.5, lyso 5",0.609,P23142
ENSP00000327887,ENSG00000178031,ENST00000327883,0.88,0.952,PredHel=0,0.549319,"extr 21, lyso 10",0.683,Q8N6G6
ENSP00000330808,ENSG00000182447,ENST00000327928,0.828,0.962,PredHel=1,0.880933,"extr 20, E.R. 11",0.718,A6NHN0
ENSP00000329384,ENSG00000127318,ENST00000328087,0.92,0.922,PredHel=1,0.642008,extr 31,0.928,Q9GZX6
ENSP00000330658,ENSG00000182752,ENST00000328252,0.891,0.896,PredHel=0,0.47108,"extr 26, lyso 2, nucl 1.5, cyto_nucl 1.5",0.397,Q13219
ENSP00000333358,ENSG00000182545,ENST00000328444,0.541,0.988,PredHel=1,0.138032,extr 31,0.927,Q5GAN6
ENSP00000330426,ENSG00000184471,ENST00000328449,0.907,0.917,PredHel=0,0.897516,"extr 20, lyso 5, E.R. 2, golg 2, E.R._golg 2",0.592,P60827
ENSP00000328397,ENSG00000182853,ENST00000328739,0.829,0.901,PredHel=0,0.532385,"extr 28, cyto 1, mito 1, E.R. 1, pero 1, E.R.",0.88,Q7Z5L0
ENSP00000331210,ENSG00000132692,ENST00000329117,0.879,0.961,PredHel=0,8.77E-08,"extr 24, E.R. 4, lyso 4",0.504,Q96GW7
ENSP00000331358,ENSG00000184502,ENST00000329402,0.833,0.96,PredHel=0,0.706631,extr 30,0.949,P01350
ENSP00000332225,ENSG00000183395,ENST00000329406,0.701,0.875,PredHel=1,0.579631,"extr 17, mito 8.5, extr_plas 8.5, mito_pero 6",0.912,P20382
ENSP00000330070,ENSG00000183971,ENST00000329610,0.834,0.86,PredHel=0,0.735278,"extr 28, golg 4",0.813,Q8N729
ENSP00000333494,ENSG00000126091,ENST00000330208,0.212,0.983,PredHel=1,0.727947,"extr 27, lyso 3",0.965,Q11203
ENSP00000330523,ENSG00000164932,ENST00000330295,0.892,0.872,PredHel=0,0.578639,"extr 26, lyso 6",0.745,Q96CG8
ENSP00000330484,ENSG00000174876,ENST00000330330,0.907,0.901,PredHel=0,0.298855,"extr 17, mito 9, pero 4",0.734,P04745
ENSP00000329890,ENSG00000164816,ENST00000330590,0.898,0.97,PredHel=0,0.232998,extr 32,0.913,Q01523
ENSP00000330601,ENSG00000182218,ENST00000330710,0.82,0.835,PredHel=0,0.856779,"extr 21, pero 4, E.R. 3, lyso 3",0.326,Q96JK4
ENSP00000328738,ENSG00000185652,ENST00000331010,0.723,0.652,PredHel=0,0.528824,"extr 23, cyto_nucl 3.5, mito 3, nucl 2.5",0.916,P20783
ENSP00000330382,ENSG00000100311,ENST00000331163,0.903,0.847,PredHel=0,0.754323,"extr 26, mito 3, cyto_mito 3",0.768,P01127
ENSP00000331746,ENSG00000110680,ENST00000331587,0.855,0.933,PredHel=0,0.570591,extr 32,0.946,P01258
ENSP00000332723,ENSG00000184374,ENST00000332843,0.867,0.915,PredHel=0,0.355412,"extr 27, mito 2, E.R. 2, E.R._mito 2",0.819,Q9Y6Z7
ENSP00000332766,ENSG00000183979,ENST00000333383,0.91,0.938,PredHel=1,0.0586234,"extr 25.5, extr_plas 13.5, mito 4",0.879,Q8NG41
ENSP00000330269,ENSG00000182698,ENST00000333527,0.173,0.467,PredHel=0,0.714762,"extr 15, cyto 8.5, cyto_nucl 7.5, extr_plas 7",0.901,Q5W5W9
ENSP00000334267,ENSG00000186493,ENST00000334000,0.406,0.129,PredHel=0,0.252973,"mito 16, extr 7, cyto 6",0.954,Q86SI9
ENSP00000335481,ENSG00000186998,ENST00000334018,0.933,0.832,PredHel=1,0.200205,"extr 17, mito 8, cyto_mito 5.5, lyso 3",0.317,Q96A84
ENSP00000334122,ENSG00000186895,ENST00000334134,0.825,0.884,PredHel=0,0.975549,"extr 25, cyto_pero 2.5, nucl 2, cyto 2",0.409,P11487
ENSP00000334463,ENSG00000187123,ENST00000334166,0.876,0.962,PredHel=0,8.00E-10,"plas 21.5, extr_plas 16, extr 9.5",0.967,Q86Y78
ENSP00000334284,ENSG00000124731,ENST00000334475,0.84,0.887,PredHel=0,0.103664,"extr 15, mito 12, cyto_mito 10, cyto 4",0.865,Q9NP99
ENSP00000335616,ENSG00000186354,ENST00000334490,0.731,0.896,PredHel=0,0.895974,"extr 12.5, mito 9, extr_plas 8.5, plas 3.5, g",0.956,Q6ZRZ4
ENSP00000334733,ENSG00000197565,ENST00000334504,0.838,0.953,PredHel=0,0.896307,"extr 15, nucl 4.5, cyto_nucl 4, lyso 4, cyto ",0.069,Q14031
ENSP00000334042,ENSG00000176358,ENST00000334568,0.842,0.975,PredHel=0,0.608533,"extr 26, mito 3",0.955,Q86UU9
ENSP00000335657,ENSG00000187094,ENST00000334681,0.868,0.968,PredHel=0,0.203016,extr 31,0.907,P06307
ENSP00000335024,ENSG00000186910,ENST00000334708,0.837,0.849,PredHel=0,0.96416,"extr 14, mito 7.5, E.R._mito 4.5, lyso 4, cyt",0.763,Q86U17
ENSP00000334330,ENSG00000186562,ENST00000334773,0.874,0.947,PredHel=1,0.862819,extr 32,0.931,Q8NG35
ENSP00000335307,ENSG00000186579,ENST00000335186,0.863,0.92,PredHel=0,0.803767,extr 32,0.924,Q8N104
ENSP00000335633,ENSG00000126091,ENST00000335430,0.22,0.984,PredHel=1,0.00469893,"extr 28, lyso 4",0.957,Q11203
ENSP00000334364,ENSG00000187082,ENST00000335479,0.863,0.92,PredHel=0,0.803767,extr 32,0.924,Q8N104
ENSP00000335281,ENSG00000186599,ENST00000335510,0.874,0.947,PredHel=1,0.862819,extr 32,0.931,Q8NG35
ENSP00000334186,ENSG00000167992,ENST00000335613,0.801,0.858,PredHel=0,0.933584,"extr 14.5, extr_plas 14.5, plas 13.5",0.45,Q96DN2
ENSP00000338317,ENSG00000160404,ENST00000336067,0.855,0.912,PredHel=1,0.36159,"extr 25, pero 3, mito 2",0.325,Q8N2E6
ENSP00000337432,ENSG00000112116,ENST00000336123,0.794,0.943,PredHel=0,0.821275,extr 30,0.919,Q96PD4
ENSP00000338607,ENSG00000130193,ENST00000336138,0.238,0.865,PredHel=1,0.795245,"extr 28, E.R. 3",0.944,Q8WUY1
ENSP00000337425,ENSG00000186792,ENST00000336307,0.687,0.869,PredHel=0,0.0334704,"extr 24, lyso 3, cyto_pero 3",0.843,O43820
ENSP00000336762,ENSG00000214274,ENST00000336811,0.899,0.929,PredHel=1,0.450817,extr 30,0.903,P03950
ENSP00000338816,ENSG00000213218,ENST00000336844,0.82,0.916,PredHel=0,0.903412,extr 30,0.942,P0DML3
ENSP00000337065,ENSG00000145824,ENST00000337225,0.892,0.852,PredHel=1,0.656168,"extr 22.5, extr_plas 13, lyso 3, plas 2.5",0.641,O95715
ENSP00000338213,ENSG00000139219,ENST00000337299,0.882,0.922,PredHel=0,0.755252,"extr 14, lyso 6, pero 4, mito 3, golg 3",0.206,P02458
ENSP00000337612,ENSG00000017427,ENST00000337514,0.563,0.715,PredHel=0,0.267073,extr 31,0.947,P05019
